# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61108,631842,-7.28125,-0.62891,6.76562,0.32061768,0.21191406,0.38916016,-0.8371582,-40.33744,37.18316,-152.17471,24,26,0.434,51451,1
61109,631852,-7.625,-0.66797,6.80469,0.33209229,0.20935059,0.38555908,-0.83502197,-39.37966,37.27841,-150.38904,24,26,0.434,51451,1
61110,631863,-7.625,-0.66797,6.80469,0.34283447,0.20666504,0.38226318,-0.83282471,-38.50087,37.32654,-148.70535,24,26,0.434,51451,1
61111,631876,-7.24219,-1.05078,7.67969,0.3538208,0.20367432,0.37884521,-0.83056641,-37.60005,37.32926,-146.97182,24,26,0.434,51451,1
61112,631883,-7.16797,-1.43359,7.80078,0.36480713,0.20050049,0.37530518,-0.828125,-36.69389,37.2972,-145.22266,24,26,0.434,51451,1
61113,631892,-7.01172,-1.05078,8.06641,0.37597656,0.19714355,0.37145996,-0.82568359,-35.74596,37.22173,-143.43062,24,26,0.434,51451,1
61114,631902,-6.9375,-1.28125,7.71875,0.3862915,0.19390869,0.36761475,-0.82342529,-34.84131,37.11068,-141.75993,24,26,0.434,51451,1
61115,631914,-6.4375,-1.89453,7.41406,0.39611816,0.19067383,0.3637085,-0.82128906,-33.95879,36.96308,-140.15709,24,26,0.434,51451,1
61116,631922,-6.32422,-1.47266,7.60938,0.40673828,0.18713379,0.35894775,-0.81896973,-32.94715,36.76279,-138.4019,24,26,0.434,51451,1
61117,631932,-6.28516,-1.77734,7.53125,0.41638184,0.18383789,0.35430908,-0.81689453,-32.00074,36.5408,-136.79907,24,26,0.434,51451,1
61118,631943,-6.28516,-1.77734,7.53125,0.42565918,0.18054199,0.34942627,-0.81494141,-31.05228,36.27985,-135.24348,24,26,0.434,51451,1
61119,631956,-6.13672,-2.66016,5.88281,0.43536377,0.17706299,0.34387207,-0.81292725,-30.01896,35.96582,-133.60536,24,26,0.434,51451,1
61120,631963,-6.36328,-2.8125,6.19141,0.44470215,0.17364502,0.3380127,-0.81103516,-28.97857,35.61441,-132.01672,24,26,0.434,51451,1
61121,631972,-6.74219,-2.88672,6.49609,0.45458984,0.17016602,0.33117676,-0.80914307,-27.81086,35.20314,-130.32596,24,26,0.434,51451,1
61122,631982,-7.16406,-2.96484,6.15234,0.46362305,0.16693115,0.32427979,-0.80749512,-26.68587,34.76899,-128.76918,24,26,0.434,51451,1
61123,631993,-8.47266,-2.54297,6.38281,0.47235107,0.16412354,0.3168335,-0.80596924,-25.50872,34.32302,-127.25101,24,26,0.434,51451,1
61124,632002,-9.15625,-2.69531,7.26172,0.48101807,0.16143799,0.30859375,-0.80456543,-24.25437,33.82481,-125.72919,24,26,0.434,51451,1
61125,632012,-9.77734,-2.58203,7.80078,0.48980713,0.15899658,0.29931641,-0.80322266,-22.88306,33.27531,-124.17218,24,26,0.434,51451,1
61126,632023,-9.77734,-2.58203,7.80078,0.4977417,0.15698242,0.29016113,-0.80212402,-21.56691,32.73106,-122.76093,24,26,0.434,51451,1
61127,632036,-10.50391,-1.89453,8.06641,0.50585938,0.1550293,0.28015137,-0.80102539,-20.16581,32.12514,-121.31583,24,26,0.434,51451,1
61128,632043,-10.61328,-1.54688,8.10547,0.51367188,0.15319824,0.2699585,-0.79986572,-18.77759,31.49477,-119.92197,24,26,0.434,51451,1
61129,632052,-10.61328,-1.50781,8.14453,0.52166748,0.15142822,0.2588501,-0.79870605,-17.3036,30.79444,-118.49867,24,26,0.434,51451,1
61130,632062,-10.76562,-1.625,8.06641,0.52905273,0.14978027,0.24822998,-0.79748535,-15.93083,30.10477,-117.18935,24,26,0.434,51451,1
61131,632073,-11.76172,-1.01172,8.06641,0.53649902,0.14807129,0.23724365,-0.79626465,-14.54787,29.36237,-115.88885,24,26,0.434,51451,1
