# PadDis v8.1
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz
42,22456,0.19141,-6.55078,7.35547,0.87426758,-0.33813477,0.11724854,-0.32794189,-41.93249,-0.96057,-40.75452,0,0,0.000
43,22465,0.23047,-6.51172,7.39453,0.87432861,-0.33819580,0.11700439,-0.32794189,-41.92728,-0.98642,-40.74204,0,0,0.000
44,22475,0.23047,-6.58984,7.43359,0.87432861,-0.33819580,0.11676025,-0.32788086,-41.91919,-1.00862,-40.72660,0,0,0.000
45,22487,0.15234,-6.66406,7.50781,0.87438965,-0.33813477,0.11657715,-0.32788086,-41.90398,-1.02383,-40.71830,0,0,0.000
46,22495,0.19141,-6.55078,7.58984,0.87445068,-0.33807373,0.11651611,-0.32788086,-41.89327,-1.02679,-40.71465,0,0,0.000
47,22505,0.23047,-6.55078,7.54688,0.87445068,-0.33801270,0.11657715,-0.32788086,-41.88939,-1.01841,-40.71790,0,0,0.000
48,22515,0.15234,-6.58984,7.42969,0.87445068,-0.33789062,0.11676025,-0.32794189,-41.88296,-0.99783,-40.73285,0,0,0.000
49,22527,0.19141,-6.55078,7.35547,0.87445068,-0.33789062,0.11688232,-0.32794189,-41.88747,-0.98557,-40.73750,0,0,0.000
50,22535,0.19141,-6.55078,7.23438,0.87445068,-0.33782959,0.11688232,-0.32800293,-41.88041,-0.98564,-40.74455,0,0,0.000
51,22545,0.15234,-6.51172,7.23438,0.87445068,-0.33789062,0.11682129,-0.32794189,-41.88521,-0.99170,-40.73517,0,0,0.000
52,22555,0.15234,-6.58984,7.23438,0.87445068,-0.33795166,0.11663818,-0.32794189,-41.88459,-1.01235,-40.72728,0,0,0.000
53,22566,0.23047,-6.55078,7.42969,0.87445068,-0.33789062,0.11651611,-0.32794189,-41.87395,-1.02236,-40.72356,0,0,0.000
54,22575,0.19141,-6.62891,7.46875,0.87451172,-0.33782959,0.11645508,-0.32794189,-41.86324,-1.02532,-40.71991,0,0,0.000
55,22585,0.19141,-6.62891,7.55078,0.87457275,-0.33770752,0.11639404,-0.32794189,-41.84640,-1.02602,-40.71718,0,0,0.000
56,22595,0.23047,-6.62891,7.58594,0.87457275,-0.33764648,0.11645508,-0.32794189,-41.84252,-1.01764,-40.72043,0,0,0.000
57,22606,0.19141,-6.55078,7.47266,0.87457275,-0.33758545,0.11657715,-0.32800293,-41.83996,-1.00544,-40.73212,0,0,0.000
58,22615,0.19141,-6.51172,7.39453,0.87457275,-0.33752441,0.11676025,-0.32806396,-41.83968,-0.98711,-40.74614,0,0,0.000
59,22624,0.19141,-6.55078,7.27344,0.87451172,-0.33758545,0.11682129,-0.32806396,-41.85039,-0.98416,-40.74980,0,0,0.000
60,22635,0.11328,-6.55078,7.20312,0.87451172,-0.33758545,0.11682129,-0.32806396,-41.85039,-0.98416,-40.74980,0,0,0.000
61,22646,0.11328,-6.47266,7.23438,0.87451172,-0.33764648,0.11676025,-0.32806396,-41.85426,-0.99254,-40.74655,0,0,0.000
62,22655,0.19141,-6.55078,7.31641,0.87451172,-0.33776855,0.11657715,-0.32800293,-41.86069,-1.01312,-40.73160,0,0,0.000
63,22665,0.15234,-6.62891,7.42969,0.87451172,-0.33782959,0.11639404,-0.32788086,-41.86192,-1.02912,-40.71145,0,0,0.000
64,22675,0.23047,-6.58984,7.50781,0.87457275,-0.33782959,0.11627197,-0.32788086,-41.85509,-1.04047,-40.70455,0,0,0.000
65,22686,0.23047,-6.62891,7.50781,0.87457275,-0.33789062,0.11621094,-0.32781982,-41.85989,-1.04653,-40.69517,0,0,0.000
66,22695,0.23047,-6.58984,7.46875,0.87457275,-0.33782959,0.11627197,-0.32781982,-41.85601,-1.03814,-40.69842,0,0,0.000
